                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      2.0799999999999996e+00,     -4.6596029940597808e+08,     -3.0231971387450004e+08
      2.0899999999999994e+00,      5.0219512029417597e+07,      3.7312589712722383e+07
      2.0999999999999992e+00,      5.5076426540868235e+08,     -3.1463993945804542e+08
      2.1099999999999990e+00,     -7.3502765295173669e+08,     -1.7904090062047372e+09
      2.1199999999999988e+00,      1.9831966299660635e+08,     -4.5743819746042597e+08
      2.1299999999999986e+00,     -2.6358646001572415e+07,      3.0577095375674862e+07
      2.1399999999999983e+00,     -6.9156838716925099e+07,      1.0702917369074659e+08
      2.1499999999999981e+00,     -1.1191095787274046e+08,      1.1797460381956493e+07
      2.1599999999999979e+00,      1.7991224123395011e+06,     -2.6208903578176107e+07
      2.1699999999999977e+00,     -1.0801671047901783e+09,      1.4475438994830768e+09
      2.1799999999999975e+00,      1.4028637576188717e+09,     -5.4518867475373602e+08
      2.1899999999999973e+00,     -1.1653566223573513e+09,      8.2649540941574466e+08
      2.1999999999999971e+00,      4.0373801088464111e+08,      1.7587615016812925e+09
      2.2099999999999969e+00,     -6.8754368786630356e+08,     -5.3359567677590448e+08
      2.2199999999999966e+00,     -1.0658264550106876e+09,     -3.8676834539889827e+07
      2.2299999999999964e+00,     -1.5803263616373770e+07,     -5.6158705040372685e+06
      2.2399999999999962e+00,     -5.2667650683177441e+07,      9.1682859768120974e+07
      2.2499999999999960e+00,     -2.4032069050983697e+07,      1.7781421302574702e+07
      2.2599999999999958e+00,      5.4324876847063676e+07,      2.7055270032220155e+07
      2.2699999999999956e+00,     -6.1044695109708346e+06,     -1.0884576905206570e+07
      2.2799999999999954e+00,     -6.1978797645242922e+07,      7.7842014560335115e+07
      2.2899999999999952e+00,      1.3661918743586693e+09,     -7.6349645992759848e+08
      2.2999999999999949e+00,      3.1680758791866118e+08,     -8.2016141907185149e+08
      2.3099999999999947e+00,     -7.7819773304746437e+08,      4.7751715181368434e+08
      2.3199999999999945e+00,     -2.1465907650480312e+08,     -3.3286155017990911e+08
      2.3299999999999943e+00,     -2.0935138138437644e+07,      2.1889397761813164e+08
      2.3399999999999941e+00,     -6.8892840014653131e+07,     -6.9360270531248426e+08
      2.3499999999999939e+00,     -2.5638266135545507e+07,     -2.9019462835883964e+07
      2.3599999999999937e+00,      5.8979166735004395e+07,      1.6898674456689749e+06
      2.3699999999999934e+00,     -2.8728784455671918e+07,      1.9032517428778756e+07
      2.3799999999999932e+00,      7.9685588041956007e+08,     -6.3029858826103032e+08
      2.3899999999999930e+00,      1.0146907470510657e+09,     -6.0413379713436747e+08
      2.3999999999999928e+00,     -4.1706708452913761e+07,      1.7707133307924160e+08
      2.4099999999999926e+00,      4.0157546100648731e+07,     -1.6228334807035459e+07
      2.4199999999999924e+00,     -2.0744503404764116e+07,      1.5619104909948610e+07
      2.4299999999999922e+00,      6.6652834811868906e+07,      1.1785601157323109e+08
      2.4399999999999920e+00,      1.8489908777534646e+08,     -4.4531669484942168e+08
      2.4499999999999917e+00,      3.7675660592048652e+07,      1.2906432206670669e+08
      2.4599999999999915e+00,      2.1199182227752441e+08,     -3.3430156781838845e+07
      2.4699999999999913e+00,      1.0211173655151698e+08,     -8.9634543646357074e+07
      2.4799999999999911e+00,     -3.4103142988153636e+07,     -7.0568301743470132e+07
      2.4899999999999909e+00,     -6.1680967669211635e+06,     -7.4029369086504998e+06
      2.4999999999999907e+00,      6.3636213204622626e+07,      7.8241134413694754e+07
      2.5099999999999905e+00,      1.1299317449891321e+07,     -5.1288930046547903e+06
      2.5199999999999902e+00,      9.4613444872482903e+06,      1.4327466685888179e+07
      2.5299999999999900e+00,      5.6369968654184453e+07,     -9.3624970777178761e+06
      2.5399999999999898e+00,     -4.3817893703862585e+07,     -6.3298258521159045e+07
      2.5499999999999896e+00,      3.9184516737787046e+07,     -4.3435500714690574e+07
      2.5599999999999894e+00,     -4.2302840247493893e+07,     -6.1560153156894790e+06
      2.5699999999999892e+00,     -9.7717556001650020e+06,      3.4998348403841384e+07
      2.5799999999999890e+00,      2.2869948083290195e+08,      4.6301659219485126e+07
      2.5899999999999888e+00,      2.7766595940605290e+06,     -9.6080988898058698e+07
      2.5999999999999885e+00,     -2.0978270513196215e+07,     -2.8520147567080770e+07
      2.6099999999999883e+00,      5.2600948864709783e+08,      1.5180793233730097e+09
      2.6199999999999881e+00,     -7.0209078879130721e+08,     -2.7315913064537692e+09
      2.6299999999999879e+00,     -1.8204902747133374e+07,     -2.5078581650007850e+08
      2.6399999999999877e+00,     -5.8124293305095360e+06,     -2.6977269139061667e+07
      2.6499999999999875e+00,      2.7170150860441595e+07,      4.5118379358632483e+07
      2.6599999999999873e+00,      5.1583461193022293e+08,      3.4093926337241691e+08
      2.6699999999999871e+00,     -5.6233458189213216e+07,      9.1792504378168613e+07
      2.6799999999999868e+00,      6.6191154006730758e+07,      1.4256615400201183e+07
      2.6899999999999866e+00,      5.5973202725675814e+06,      9.9916796583987810e+06
      2.6999999999999864e+00,      1.0283982177099071e+08,      1.5262450388112047e+08
      2.7099999999999862e+00,      1.7115712130800152e+08,      4.7756170135065597e+08
      2.7199999999999860e+00,      6.8501154017852873e+07,      1.2432687582283179e+08
      2.7299999999999858e+00,     -9.3875907426250659e+11,     -6.5230531453906602e+12
      2.7399999999999856e+00,      1.6606322135896062e+13,      8.2862698512563584e+12
      2.7499999999999853e+00,     -4.2267468960789966e+12,     -1.8546439732618247e+12
      2.7599999999999851e+00,      1.1754551019655009e+08,     -1.5084122594348431e+08
