                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      1.0600000000000007e+00,      7.9472789713054061e+07,     -1.5972236410383059e+07
      1.0700000000000007e+00,     -1.6763018674445045e+08,      1.5885769747641282e+07
      1.0800000000000007e+00,     -6.6753892268988982e+07,     -5.2168453904337704e+07
      1.0900000000000007e+00,      4.9541299336899184e+06,     -2.6540049625431482e+07
      1.1000000000000008e+00,     -2.5718108993434176e+07,     -4.8720022304882377e+07
      1.1100000000000008e+00,     -5.8607493663292401e+07,      1.4686125481920847e+08
      1.1200000000000008e+00,     -2.5185711263316426e+08,      1.0960514120726794e+08
      1.1300000000000008e+00,     -3.4589990985093279e+09,     -4.3238001051633674e+08
      1.1400000000000008e+00,     -4.1937999508890095e+09,      5.9728474998845930e+09
      1.1500000000000008e+00,     -6.7991805058548570e+08,      1.0686612985219376e+08
      1.1600000000000008e+00,      1.4850166264878675e+07,     -1.1180655645942512e+08
      1.1700000000000008e+00,     -1.2026234692538660e+06,     -1.4401668456042025e+07
      1.1800000000000008e+00,     -1.2456604951559167e+07,     -2.5315842418019943e+07
      1.1900000000000008e+00,      3.5785016767294921e+07,     -5.2405669531350657e+07
      1.2000000000000008e+00,     -5.4069138722014642e+08,     -2.8019945009142852e+08
      1.2100000000000009e+00,     -1.7579248607303815e+09,      5.6554381175271797e+08
      1.2200000000000009e+00,      1.0607499805474880e+08,     -1.9263733094599940e+07
      1.2300000000000009e+00,      2.1399766182755817e+07,      5.2146805465750406e+06
      1.2400000000000009e+00,     -9.7068908971542329e+07,     -2.0332547020356983e+07
      1.2500000000000009e+00,     -2.3411070081761573e+07,     -6.6962599347705439e+07
      1.2600000000000009e+00,      3.3622474264793172e+06,      1.3633245445439335e+07
      1.2700000000000009e+00,     -1.6079123142893830e+08,      3.3958168114129268e+07
      1.2800000000000009e+00,     -5.9979581196615770e+07,     -8.2402885637217224e+08
      1.2900000000000009e+00,      3.0393232627536976e+08,      1.3084467339270245e+08
      1.3000000000000009e+00,      6.0324409410806394e+08,      2.9014526791696391e+09
      1.3100000000000009e+00,     -5.6807925446012521e+08,      2.6328358216531920e+09
      1.3200000000000010e+00,     -3.6011097803919405e+08,      3.7607966207167101e+08
      1.3300000000000010e+00,     -9.7621211413185522e+07,      1.2089658971239182e+08
      1.3400000000000010e+00,     -7.2495726939524934e+06,      3.0523990501939036e+07
      1.3500000000000010e+00,     -5.8156642667340279e+07,     -1.5559094331786904e+08
      1.3600000000000010e+00,     -1.1157890874369046e+07,      2.0549101860025238e+07
      1.3700000000000010e+00,     -3.4696120577619106e+07,      2.9085643576743575e+06
      1.3800000000000010e+00,     -4.0348782114410885e+06,      1.0484531692667462e+07
      1.3900000000000010e+00,      6.3419579405636415e+07,      1.6009600255077327e+07
      1.4000000000000010e+00,     -1.7412659810224861e+07,      5.6602137295507915e+07
      1.4100000000000010e+00,      2.6796677852797974e+07,     -2.8208463706753324e+06
      1.4200000000000010e+00,     -1.0368849687467717e+07,      3.6894221102026552e+07
      1.4300000000000010e+00,     -7.5766432988215625e+07,     -2.1652645060433158e+08
      1.4400000000000011e+00,     -3.0257965387411833e+07,      1.8142037188963923e+08
      1.4500000000000011e+00,     -5.0137879885965712e+07,     -1.2943147385477543e+08
